id;contact_id;name;interest;deletedAt;user_id;plan_stage_id;stage_order;not_company
116;409;"Asociacion de Aseguradores de Chile";1;NULL;256;NULL;NULL;0
117;NULL;"Airbus Industries";1;NULL;258;NULL;NULL;0
118;77;Ditec;1;NULL;258;1;6;0
119;NULL;Watts;1;NULL;255;NULL;NULL;0
120;NULL;"Porsche Chile";1;NULL;258;NULL;NULL;0
121;NULL;Colbun;1;NULL;255;NULL;NULL;0
122;17;"Ohio Seguros Vida";1;NULL;256;NULL;NULL;0
123;NULL;Metrogas;1;NULL;255;NULL;NULL;0
124;NULL;"Falabella Seguros";1;NULL;259;NULL;NULL;0
125;NULL;"Aguas Andinas";2;NULL;255;NULL;NULL;0
127;NULL;"GERDAU AZA";1;NULL;259;NULL;NULL;0
128;NULL;Enel;1;NULL;255;NULL;NULL;0
129;NULL;Siemens;1;NULL;258;NULL;NULL;0
130;NULL;"Mutual de Seguros Chile";1;NULL;256;NULL;NULL;0
131;NULL;CMPC;1;NULL;255;NULL;NULL;0
132;NULL;"Gerdau Aza";1;NULL;255;NULL;NULL;0
133;NULL;Adidas;1;NULL;254;NULL;NULL;0
134;NULL;"Clinica Bupa";2;NULL;256;NULL;NULL;0
135;NULL;Siemens;1;NULL;255;NULL;NULL;0
136;NULL;siemens;1;NULL;259;NULL;NULL;0
137;NULL;Belcorp;1;NULL;254;NULL;NULL;0
138;NULL;Loreal;1;NULL;254;NULL;NULL;0
139;203;"Isapre Cruz Blanca";1;NULL;256;1;9999;0
140;332;"Mall Plaza";2;NULL;260;3;5;0
141;NULL;codelco;1;NULL;259;NULL;NULL;0
142;377;"AES Gener";2;NULL;258;3;2;0
143;NULL;Derco;2;NULL;255;NULL;NULL;0
144;NULL;"Banco Santander";1;NULL;254;NULL;NULL;0
145;NULL;"coca cola";1;NULL;259;NULL;NULL;0
146;NULL;Chilquinta;1;NULL;255;NULL;NULL;0
147;NULL;Pfizer;2;NULL;254;NULL;NULL;0
148;NULL;Roche;2;NULL;254;NULL;NULL;0
149;NULL;microsoft;1;NULL;259;NULL;NULL;0
150;NULL;"Grupo Saesa";1;NULL;255;NULL;NULL;0
151;NULL;Deloitte;1;NULL;254;NULL;NULL;0
152;NULL;Accenture;1;NULL;254;NULL;NULL;0
153;NULL;latam;1;NULL;259;NULL;NULL;0
154;NULL;Sura;1;NULL;254;NULL;NULL;0
155;NULL;Unilever;2;NULL;259;NULL;NULL;0
156;NULL;"Grupo Coloso";3;NULL;260;NULL;NULL;0
157;317;Inacap;2;NULL;256;NULL;NULL;0
158;NULL;Metlife;1;NULL;254;NULL;NULL;0
159;NULL;avon;1;NULL;259;NULL;NULL;0
160;NULL;"Saint George College";1;NULL;256;NULL;NULL;0
161;NULL;Sky;1;NULL;252;NULL;NULL;0
162;140;"Moller y Perez Cotapos";1;NULL;260;3;2;0
163;NULL;LATAM;1;NULL;254;NULL;NULL;0
164;NULL;"Roche Chile";2;NULL;255;NULL;NULL;0
165;NULL;Paz;3;NULL;260;NULL;NULL;0
166;NULL;"Euroamerica Seguros";1;NULL;256;NULL;NULL;0
167;NULL;"Chilena Consolidada";1;NULL;256;NULL;NULL;0
168;NULL;"Falabella Retail";2;NULL;255;NULL;NULL;0
169;NULL;"AES Gener";1;NULL;255;NULL;NULL;0
170;NULL;"Penta Seguros";2;NULL;256;NULL;NULL;0
171;NULL;"Viña Concha y Toro";1;NULL;259;NULL;NULL;0
172;NULL;"Maphre Seguros";0;NULL;256;NULL;NULL;0
173;NULL;Transbank;1;NULL;255;NULL;NULL;0
174;NULL;"HDI Seguros";1;NULL;256;NULL;NULL;0
175;410;Ecasa;2;NULL;260;3;6;0
176;NULL;Sodimac;1;NULL;255;NULL;NULL;0
177;NULL;"Novartis Chile";1;NULL;255;NULL;NULL;0
178;NULL;"Paris Retail";2;NULL;255;NULL;NULL;0
179;NULL;SAP;1;NULL;254;NULL;NULL;0
180;NULL;"Isapre BanMedica";1;NULL;256;NULL;NULL;0
181;NULL;"Caja Los Andes";1;NULL;255;NULL;NULL;0
182;412;"Inmobiliaria Norte Verde";2;NULL;260;3;7;0
183;NULL;"Dell EMC";1;NULL;255;NULL;NULL;0
184;348;"Gobierno de Chile";1;NULL;252;NULL;NULL;0
185;NULL;Samsung;1;NULL;255;NULL;NULL;0
186;NULL;colun;2;NULL;259;NULL;NULL;0
187;NULL;"Isapre Vida Tres";0;NULL;256;NULL;NULL;0
188;NULL;Sony;1;NULL;255;NULL;NULL;0
189;NULL;"Inmobiliaria Simonetti";1;NULL;260;NULL;NULL;0
190;NULL;Habitat;2;NULL;252;NULL;NULL;0
